Num,Ch,Res
102,0,0.035571763998
102,2,0.0597823476488
102,1,0.0659651451337
103,0,0.182448309759
103,2,0.0
103,1,0.0819465176789
104,0,0.541679710528
104,2,0.201201339728
104,1,0.0
106,0,0.107146928687
106,2,0.136060834527
106,1,0.0
107,0,0.120964473519
107,2,0.0
107,1,0.0
108,0,0.0
108,2,0.0
108,1,0.0
109,0,0.15655316105
109,2,0.164120138668
109,1,0.265192880001
11,0,0.0653460481089
11,2,0.853089658486
11,1,0.06500143169
110,0,0.155178853384
110,2,0.0511433159194
110,1,0.0681809964674
112,0,0.571201729705
112,2,0.0472187935346
112,1,0.0869467056243
113,0,0.964952999887
113,2,0.160912201692
113,1,0.0752848141572
114,0,0.322204469219
114,2,0.106854703547
114,1,0.0905802135688
115,0,0.0
115,2,0.118344161465
115,1,0.0
116,0,0.220564580846
116,2,0.136411020815
116,1,0.0930864890318
118,0,0.219474751313
118,2,0.0772971359658
118,1,0.0981903377767
12,0,0.580032793798
12,2,0.0
12,1,0.132658476375
121,0,0.0
121,2,0.0
121,1,0.138117463942
122,0,0.180255408639
122,2,0.0575115879097
122,1,0.0878912833198
123,0,0.119102016852
123,2,0.0646647984865
123,1,0.0
124,0,0.209330463524
124,2,0.108442564876
124,1,0.121390425455
125,0,0.0
125,2,0.0
125,1,0.0
126,0,0.0666276231432
126,2,0.117105726917
126,1,0.105892220782
129,0,1.40697614523
129,2,0.29041517213
129,1,0.422003265972
13,0,0.939431945455
13,2,0.119026210014
13,1,0.255477751033
130,0,0.137055742873
130,2,0.0907923974294
130,1,0.824442328719
131,0,0.135225168402
131,2,2.07044745595
131,1,1.38009723282
132,0,0.0818153532916
132,2,0.120435481061
132,1,0.0984576733757
133,0,0.290862040437
133,2,1.40455534703
133,1,0.681470444763
17,0,0.323473108248
17,2,0.236712379761
17,1,0.304028737087
18,0,0.0947479313115
18,2,0.0882674022727
18,1,0.083797654522
19,0,0.263770827661
19,2,0.13995452028
19,1,0.24018884057
2,0,0.194230323262
2,2,1.44216013514
2,1,0.384103884541
20,0,0.111137870387
20,2,0.161785224981
20,1,0.20620526267
22,0,0.259742695873
22,2,0.0
22,1,0.143782233947
23,0,1.59289724444
23,2,0.512400962667
23,1,0.416686165399
24,0,0.359419841476
24,2,0.286836770934
24,1,0.17669669117
25,0,0.293077388121
25,2,0.233150588291
25,1,0.293248527244
27,0,0.339083459619
27,2,0.761983178129
27,1,0.580592359303
28,0,0.127435637042
28,2,0.296029784172
28,1,0.0678240898296
29,0,0.0654684261088
29,2,0.0743722922874
29,1,0.0538143405328
3,0,0.495513317837
3,2,0.116056567974
3,1,0.14815594653
31,0,1.03968747411
31,2,0.193665493359
31,1,0.167701311139
33,0,0.386780681522
33,2,0.662442625463
33,1,0.0
34,0,0.0859503128874
34,2,0.134916793145
34,1,0.163895985693
36,0,1.46118508108
36,2,0.175700663878
36,1,0.375852998795
39,0,0.137231427783
39,2,0.0769943222196
39,1,0.0916552376299
40,0,0.351735443822
40,2,0.0
40,1,0.62357388159
41,0,0.0801186852711
41,2,0.04085406634
41,1,0.0382302209519
42,0,0.214219816815
42,2,0.0
42,1,0.207333771466
43,0,0.122375108861
43,2,0.0
43,1,0.108075438274
45,0,0.110752651585
45,2,0.0743655638631
45,1,1.28053693031
46,0,0.18708747637
46,2,0.0
46,1,0.124712775555
47,0,0.0
47,2,0.0
47,1,0.136090555927
48,0,0.108307874564
48,2,0.0
48,1,0.0
51,0,0.0835557642471
51,2,0.201401212188
51,1,0.0696082141839
52,0,0.0
52,2,0.090282008989
52,1,0.0
55,0,0.134197391612
55,2,0.0659154047217
55,1,0.161017804161
56,0,0.100886708801
56,2,0.0
56,1,0.111139414969
57,0,0.133349908532
57,2,0.0638507038916
57,1,0.0342327707366
58,0,0.145331471718
58,2,0.0
58,1,0.0617746344694
59,0,0.0
59,2,0.0
59,1,0.0
64,0,0.0564505118223
64,2,0.0641996324099
64,1,1.04266722632
65,0,0.0
65,2,0.0
65,1,0.189921512228
66,0,0.389797320154
66,2,0.125054547184
66,1,0.435826519719
67,0,0.134568243272
67,2,0.0
67,1,0.153469966146
68,0,0.0878054664778
68,2,0.0
68,1,0.190851672787
69,0,0.0974284347971
69,2,0.0
69,1,0.0924448947679
7,0,0.0764318952727
7,2,0.12551254905
7,1,0.15736821775
70,0,0.183760440561
70,2,0.133487134892
70,1,0.0
71,0,0.0898306844945
71,2,0.245442739179
71,1,0.155165624946
72,0,0.0
72,2,0.0945091722719
72,1,0.0777371895479
73,0,0.978458039498
73,2,0.391438271482
73,1,0.35782601917
74,0,0.908459812133
74,2,0.101771383346
74,1,0.0929739329975
75,0,0.125849023866
75,2,0.134193679311
75,1,0.0
76,0,0.123005614737
76,2,0.0
76,1,0.0
77,0,0.0404298096026
77,2,0.0
77,1,0.049547428547
78,0,0.0
78,2,0.0
78,1,0.146923918995
79,0,0.0
79,2,0.0
79,1,0.0
8,0,0.0623500359748
8,2,0.0
8,1,0.0
80,0,0.229189424705
80,2,0.322584548269
80,1,0.161510226839
