Num,Ch,Res,Hit_Direction,x_H,y_H,z_H,x_R,y_R,z_R
40,0,0.0978310524694,1,0.0,-0.2,0.0,0.125,-0.2,0.08
40,2,0.0,1,0.0,-0.2,0.0,0.125,-0.2,0.08
40,1,0.0,1,0.0,-0.2,0.0,0.125,-0.2,0.08
42,0,0.168998779242,0,0.075,0.1,0.034,0.075,-0.1,0.08
42,2,0.479532154369,0,0.075,0.1,0.034,0.075,-0.1,0.08
42,1,0.29128105802,0,0.075,0.1,0.034,0.075,-0.1,0.08
45,0,0.0,2,-0.067,0.221,0.032,0.075,-0.1,0.08
45,2,0.637002945559,2,-0.067,0.221,0.032,0.075,-0.1,0.08
45,1,0.152137789799,2,-0.067,0.221,0.032,0.075,-0.1,0.08
46,0,0.0770258266446,0,-0.075,-0.2,0.08,-0.125,-0.1,0.034
46,2,0.0599468623604,0,-0.075,-0.2,0.08,-0.125,-0.1,0.034
46,1,0.0,0,-0.075,-0.2,0.08,-0.125,-0.1,0.034
47,0,0.104141002145,1,-0.075,-0.2,0.017,-0.125,-0.1,0.034
47,2,0.0,1,-0.075,-0.2,0.017,-0.125,-0.1,0.034
47,1,0.0,1,-0.075,-0.2,0.017,-0.125,-0.1,0.034
49,0,0.0,1,0.075,0.2,0.08,-0.125,-0.1,0.034
49,2,0.137501558753,1,0.075,0.2,0.08,-0.125,-0.1,0.034
49,1,0.0,1,0.075,0.2,0.08,-0.125,-0.1,0.034
5,0,0.256400456784,2,0.15,-0.201,0.032,-0.125,0.25,0.034
5,2,0.0,2,0.15,-0.201,0.032,-0.125,0.25,0.034
