Hit_Direction,Response_Position,Ch,x_H,y_H,z_H,x_R,y_R,z_R,Num
0,77,2,0.125,-0.224999994,0.079999998,0.008333335,-0.25,0.032000002,46
1,78,2,-0.150000006,0.25,0.034000002,0.116666667,-0.25,0,47
0,84,2,-0.125,-0.200000003,0.057,0.125,-0.205,0.034000002,48
1,84,2,-0.125,-0.200000003,0.057,0.125,-0.205,0.034000002,49
1,85,2,-0.116666667,-0.25,0,0.091666669,-0.205,0.032499999,50
2,85,2,-0.150000006,0.226500005,0.032499999,0.091666669,-0.205,0.032499999,51
1,91,2,-0.150000006,0.25,0.017000001,-0.008333335,0.201499999,0.032499999,52
1,94,2,-0.174999997,-0.25,0.079999998,-0.125,-0.205,0.034000002,53
1,97,2,0.150000006,-0.25,0.017000001,-0.150000006,-0.201499999,0.032000002,54
0,99,2,-0.125,-0.25,0.057,-0.091666669,-0.201499999,0.032000002,55
1,99,2,-0.125,-0.25,0.057,-0.091666669,-0.201499999,0.032000002,56
0,102,2,-0.075000003,-0.200000003,0.097000003,-0.06666667,-0.201499999,0.032000002,57
1,102,2,0.058333334,-0.25,0.114,-0.06666667,-0.201499999,0.032000002,58
1,102,2,-0.075000003,-0.200000003,0.097000003,-0.06666667,-0.201499999,0.032000002,59
0,106,2,0.125,0.25,0.079999998,0.125,-0.205,0.034000002,60
1,106,2,0.125,0.25,0.079999998,0.125,-0.205,0.034000002,61
0,109,2,-0.125,-0.200000003,0.034000002,-0.125,-0.205,0.034000002,62
1,109,2,-0.125,-0.200000003,0.034000002,-0.125,-0.205,0.034000002,63
1,110,2,-0.058333334,-0.25,0.114,0.150000006,-0.24849999,0.032000002,64
2,110,2,0.091666669,-0.223499998,0.032000002,0.150000006,-0.24849999,0.032000002,65
2,113,2,-0.06666667,-0.201499999,0.032000002,0.15,-0.2485,0.032000002,66
0,114,2,0.075000003,0.200000003,0.057,0.15,-0.24849999,0.032000002,67
1,114,2,-0.174999997,-0.25,0.079999998,0.15,-0.24849999,0.032000002,68
1,114,2,0.075000003,0.200000003,0.057,0.15,-0.24849999,0.032000002,69
2,116,2,0.091666669,-0.24849999,0.032000002,0,0.25,0.034000002,70
