Hit_Direction,Response_Position,Ch,x_H,y_H,z_H,x_R,y_R,z_R,Num,Res
1,208,1,-0.075000003,-0.200000003,0.017000001,-0.075000003,0.200000003,0.097000003,119,0.0280693456425
2,209,1,0.174999997,0.24849999,0.032499999,-0.150000006,-0.25,0.079999998,120,0.0
2,217,1,-0.174999997,-0.223499998,0.032000002,0.0,-0.200000003,0.097000003,121,0.886925396719
0,218,1,0.075000003,-0.200000003,0.057,0.150000006,-0.25,0.08,122,0.131789576508
1,218,1,0.075000003,-0.200000003,0.0,0.150000006,-0.25,0.097000003,123,0.0
0,219,1,0.125,-0.224999994,0.057,-0.116666667,-0.25,0.114,124,0.106855272487
0,222,1,-0.075000003,0.100000001,0.034000002,0.0,-0.25,0.114,125,0.0341124681509
2,223,1,0.174999997,0.24849999,0.032499999,0.116666667,-0.25,0.114,126,0.164424843631
0,225,1,0.125,0.25,0.079999998,0.091666669,0.25,0.097000003,127,0.424728670511
1,225,1,0.125,0.25,0.079999998,0.091666669,0.25,0.097000003,128,0.687302679745
0,226,1,-0.075000003,0.200000003,0.057,0.15,0.25,0.114,129,0.35415803167
1,226,1,-0.075000003,0.200000003,0.097000003,0.15,0.25,0.114,130,2.29033732443
2,234,1,-0.008333335,0.201499999,0.0,0.174999997,0.25,0.097000003,131,0.483161484013
1,235,1,-0.116666667,-0.25,0.114,-0.091666669,0.25,0.097000003,132,0.0771552827355
2,238,1,-0.150000006,0.24849999,0.032499999,-0.150000006,0.25,0.079999998,133,0.815576557365
2,239,1,-0.008333335,0.223499998,0.032499999,-0.174999997,0.25,0.097000003,134,0.465814625548
1,1,2,0.0,-0.200000003,0.0,0.174999997,0.25,0.0,1,0.0635775555843
1,3,2,0.0,0.25,0.0,0.125,0.25,0.034000002,2,0.989307386011
0,6,2,-0.075000003,-0.100000001,0.057,0.125,0.200000003,0.034000002,3,0.116424277156
1,8,2,-0.150000006,0.25,0.097000003,-0.075000003,0.200000003,0.0,4,0.0903740743514
0,10,2,-0.125,-0.224999994,0.079999998,-0.075000003,0.200000003,0.034000002,5,0.0767707943137
1,10,2,-0.174999997,-0.25,0.0,-0.075000003,0.200000003,0.034000002,6,0.0
0,12,2,0.125,0.224999994,0.034000002,0.125,-0.25,0.034000002,7,0.192625027708
1,12,2,-0.116666667,-0.25,0.114,0.125,-0.25,0.034000002,8,0.0
1,21,2,0.075000003,-0.200000003,0.0,0.174999997,-0.25,0.0,10,0.09784558537
2,24,2,-0.150000006,0.24849999,0.032499999,0.075000003,0.200000003,0.079999998,11,2.04980826215
0,25,2,0.075000003,0.200000003,0.034,-0.075000003,0.200000003,0.079999998,12,0.163304423299
0,25,2,0.125,0.100000001,0.057,-0.075000003,0.200000003,0.079999998,13,0.0959297023082
1,25,2,-0.058333334,0.25,0.114,-0.075000003,0.200000003,0.079999998,14,0.10460445139
1,25,2,0.075000003,0.200000003,0.017000001,-0.075000003,0.200000003,0.079999998,15,0.177285742549
2,28,2,0.091666669,0.24849999,0.032499999,-0.125,0.25,0.079999998,16,1.41555983208
0,31,2,0.075000003,0.100000001,0.034000002,0.125,0.200000003,0.079999998,17,0.230272802178
0,33,2,0.075000003,-0.100000001,0.079999998,0.125,-0.200000003,0.079999998,18,0.102960597424
0,34,2,0.075000003,0.200000003,0.057,-0.125,-0.200000003,0.079999998,19,0.124911073236
