Frequency,N8671,N8768,N8774,N8775,N8808,N8826,N8931,N8937,N8979,N8983,N9025,N9027,N9032,N9089,N9132,N9135
162.572769165,0.00376031990163,0.147039085627,0.0823564678431,0.11829072237,0.177690193057,0.161332011223,0.112849324942,0.137668266892,0.0226900000125,0.0126252984628,0.0780371576548,0.0888007506728,0.166530072689,0.0779065415263,0.0530727431178,0.173156186938
162.830429077,0.00385451386683,0.150546044111,0.084363207221,0.121151432395,0.1817099154,0.164528787136,0.114236854017,0.139996394515,0.0232448577881,0.0129330875352,0.0780925527215,0.0892605111003,0.170407339931,0.0780752077699,0.0543794557452,0.176867604256
163.081253052,0.00395078863949,0.154131740332,0.0864146277308,0.12407604605,0.185821503401,0.167802155018,0.115662679076,0.142383530736,0.0238119959831,0.0132476743311,0.078154116869,0.0897352769971,0.174372270703,0.0782614499331,0.055715162307,0.180665388703
163.32572937,0.00404928904027,0.15780159831,0.0885138362646,0.127068981528,0.190031170845,0.171157091856,0.117129169405,0.144833371043,0.0243922676891,0.0135695328936,0.0782222300768,0.0902259945869,0.178430885077,0.0784663558006,0.0570818781853,0.184555336833
163.564239502,0.00415016477928,0.161561191082,0.0906639993191,0.130134761333,0.19434531033,0.174598768353,0.118638798594,0.147349789739,0.0249865576625,0.0138991540298,0.0782973095775,0.0907336622477,0.182589292526,0.0786911025643,0.0584816709161,0.188543319702
163.797149658,0.00425356952474,0.165416255593,0.0928684175014,0.13327807188,0.198770537972,0.178132474422,0.120194107294,0.14993673563,0.0255957711488,0.0142370387912,0.0783798396587,0.0912593230605,0.186853900552,0.0789369791746,0.059916689992,0.192635476589
164.024810791,0.00435966486111,0.169372782111,0.0951305106282,0.13650380075,0.203313738108,0.181763827801,0.121797785163,0.152598455548,0.0262208562344,0.0145837143064,0.0784703046083,0.0918040722609,0.191231325269,0.0792053714395,0.0613891594112,0.196838259697
164.247512817,0.00446861702949,0.173437044024,0.0974538400769,0.13981705904,0.207982107997,0.18549862504,0.123452663422,0.155339255929,0.0268627982587,0.014939725399,0.0785692930222,0.0923691093922,0.195728465915,0.0794977843761,0.0629014000297,0.201158285141
164.465515137,0.00458060251549,0.177615553141,0.0998421534896,0.143223166466,0.212783187628,0.189342990518,0.125161722302,0.158163800836,0.0275226272643,0.0153056457639,0.078677393496,0.0929556339979,0.200352609158,0.0798158571124,0.0644558519125,0.205602586269
164.679092407,0.00469580478966,0.181915223598,0.102299392223,0.146727725863,0.21772493422,0.193303346634,0.126928091049,0.161076918244,0.0282014347613,0.015682078898,0.0787952840328,0.0935650169849,0.205111369491,0.0801613479853,0.0660550668836,0.210178539157
