Frequency,N8757,N8758,N8763,N8788,N8811,N8813,N8815,N8932,N8973,N8975,N9020,N9024,N9038,N9048,N9103,N2969,N2970,N2983,N2996,N3011,N3016,N3281,N3788,N3789
1.32833087444,3.56472119165e-05,2.33165155805e-05,1.5228061784e-05,0.00013410882093,6.03944426985e-05,8.69999130373e-05,7.23025441403e-05,9.89206746453e-05,2.84716657006e-06,7.46418550079e-07,0.000123326215544,0.000112835572509,4.62676871393e-05,6.03039325142e-06,0.000140938660479,1.50447817759e-07,1.74060232894e-07,1.11190900043e-07,1.16616376999e-07,2.89667298148e-07,2.42006564122e-07,1.15115717847e-07,1.9052997402e-07,1.47368908188e-07
1.34009814262,3.62849459634e-05,2.37337262661e-05,1.55005309352e-05,0.000136507078423,6.14748641965e-05,8.85561385076e-05,7.35960129532e-05,0.000100690122053,2.89815216092e-06,7.59759245739e-07,0.000125531849335,0.00011485369032,4.70954764751e-05,6.13839392827e-06,0.000143458964885,1.53136042513e-07,1.77173291149e-07,1.13175659067e-07,1.18697926155e-07,2.9483848607e-07,2.46325214448e-07,1.17171175873e-07,1.9393141315e-07,1.50005661226e-07
1.35213470459,3.69432200387e-05,2.41643792833e-05,1.57817758009e-05,0.00013898256293,6.25900720479e-05,9.01624953258e-05,7.49311366235e-05,0.00010251654021,2.95078189083e-06,7.7352910921e-07,0.000127808511024,0.000116936796985,4.79499212815e-05,6.24987706033e-06,0.000146060381667,1.55910711896e-07,1.80386578563e-07,1.1522417509e-07,1.20846337381e-07,3.00175827306e-07,2.50782534295e-07,1.19292678846e-07,1.97442147964e-07,1.52727338332e-07
1.36445176601,3.76230564143e-05,2.46091440204e-05,1.60722356668e-05,0.000141539101605,6.37418124825e-05,9.18214718695e-05,7.6310003351e-05,0.00010440278129,3.00513761431e-06,7.87749627307e-07,0.000130159722175,0.000119088123029,4.88323676109e-05,6.36501727058e-06,0.000148746999912,1.5877617443e-07,1.83705111567e-07,1.17339645556e-07,1.2306495023e-07,3.05687592572e-07,2.5538548698e-07,1.21483537896e-07,2.01067607009e-07,1.55538216973e-07
1.37706148624,3.83255683118e-05,2.5068744435e-05,1.63723852893e-05,0.000144180870848,6.49319772492e-05,9.35357675189e-05,7.77348541305e-05,0.000106351930299,3.06130846184e-06,8.02443992143e-07,0.000132589353598,0.000121311175462,4.97442488268e-05,6.48400236969e-06,0.000151523185195,1.61737062854e-07,1.87134276075e-07,1.19525466857e-07,1.25357374259e-07,3.1138276313e-07,2.60141518993e-07,1.23747312841e-07,2.04813716209e-07,1.58442844622e-07
1.38997638226,3.90519417124e-05,2.55439572356e-05,1.66827285284e-05,0.000146912308992,6.61625454086e-05,9.53082635533e-05,7.92080900283e-05,0.000108367254143,3.11938879349e-06,8.17636760075e-07,0.000135101436172,0.000123609701404,5.06870965182e-05,6.60703335598e-06,0.000154393579578,1.64798350966e-07,1.90679841694e-07,1.21785319607e-07,1.27727417976e-07,3.17270831829e-07,2.65058531568e-07,1.26087769559e-07,2.08686699921e-07,1.61446124025e-07
1.40321016312,3.98034353566e-05,2.60356118815e-05,1.70038110809e-05,0.000149738189066,6.743567792e-05,9.71420740825e-05,8.07322940091e-05,0.000110452288936,3.17948092743e-06,8.33354420138e-07,0.00013770039368,0.000125987717183,5.16625623277e-05,6.73432577969e-06,0.000157363232574,1.67965396258e-07,1.94348032778e-07,1.24123161527e-07,1.3017923095e-07,3.23362030485e-07,2.70145164905e-07,1.28509000774e-07,2.12693308299e-07,1.64553327409e-07
1.41677725315,4.05814280384e-05,2.65446033154e-05,1.73362150235e-05,0.000152663647896,6.87536958139e-05,9.90405169432e-05,8.23102236609e-05,0.000112610810902,3.24169400301e-06,8.49625678256e-07,0.000140390940942,0.000128449537442,5.26724215888e-05,6.86611156198e-06,0.000160437513841,1.71243897285e-07,1.98145500008e-07,1.26543170609e-07,1.3271724697e-07,3.29667443566e-07,2.75410542372e-07,1.31015397642e-07,2.16840831513e-07,1.6777006806e-07
1.43069314957,4.13873895013e-05,2.70718974207e-05,1.76805679075e-05,0.000155694215209,7.01190874679e-05,0.000101007193734,8.39448694023e-05,0.000114846901852,3.30614602717e-06,8.66481002504e-07,0.000143178185681,0.000130999833345,5.37185842404e-05,7.00264172337e-06,0.000163622244145,1.74640078399e-07,2.02079405653e-07,1.29049922748e-07,1.35346226671e-07,3.36198894502e-07,2.80864611568e-07,1.33611663955e-07,2.21137028689e-07,1.71102470858e-07
1.44497442245,4.22228949901e-05,2.76185273833e-05,1.80375482159e-05,0.00015883584274,7.15345449862e-05,0.000103045975266,8.56394617585e-05,0.000117164985568,3.37296478392e-06,8.8395381681e-07,0.000146067570313,0.0001336435962,5.48031093786e-05,7.14418411008e-06,0.000166923666256,1.78160618702e-07,2.06157523053e-07,1.31648349111e-07,1.38071328593e-07,3.42969229905e-07,2.86518030634e-07,1.36302887199e-07,2.25590341074e-07,1.74557058585e-07
